arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
imbens/ensemble/_over_sampling/over_bagging.py,method,OverBaggingClassifier,predict_proba,A,1,286,287
imbens/ensemble/_over_sampling/over_boost.py,method,OverBoostClassifier,__init__,A,1,151,179
imbens/ensemble/_over_sampling/over_boost.py,method,OverBoostClassifier,fit,A,1,190,249
imbens/ensemble/_over_sampling/smote_bagging.py,method,SMOTEBaggingClassifier,fit,A,1,244,296
imbens/ensemble/_over_sampling/smote_boost.py,method,SMOTEBoostClassifier,fit,A,1,207,267
imbens/ensemble/_over_sampling/tests/test_kmeans_smote_boost.py,function,,imbalanced_dataset,A,1,20,31
imbens/ensemble/_over_sampling/tests/test_kmeans_smote_boost.py,function,,test_smoteboost_sample_weight,A,1,80,96
imbens/ensemble/_over_sampling/tests/test_over_bagging.py,function,,test_probability,A,1,133,156
imbens/ensemble/_over_sampling/tests/test_over_bagging.py,function,,test_single_estimator,A,1,200,223
imbens/ensemble/_over_sampling/tests/test_over_bagging.py,function,,test_gridsearch,A,1,226,240
imbens/ensemble/_over_sampling/tests/test_over_bagging.py,function,,test_bagging_with_pipeline,A,1,272,283
imbens/ensemble/_over_sampling/tests/test_over_bagging.py,function,,test_warm_start_smaller_n_estimators,A,1,314,321
imbens/ensemble/_over_sampling/tests/test_over_bagging.py,function,,test_warm_start_equal_n_estimators,A,1,324,339
imbens/ensemble/_over_sampling/tests/test_over_bagging.py,function,,test_warm_start_equivalence,A,1,342,358
imbens/ensemble/_over_sampling/tests/test_over_bagging.py,function,,test_warm_start_with_oob_score_fails,A,1,361,366
imbens/ensemble/_over_sampling/tests/test_over_bagging.py,function,,test_oob_score_removed_on_warm_start,A,1,369,379
imbens/ensemble/_over_sampling/tests/test_over_boost.py,function,,imbalanced_dataset,A,1,20,31
imbens/ensemble/_over_sampling/tests/test_over_boost.py,function,,test_overboost_sample_weight,A,1,80,96
imbens/ensemble/_over_sampling/tests/test_smote_bagging.py,function,,test_probability,A,1,133,156
imbens/ensemble/_over_sampling/tests/test_smote_bagging.py,function,,test_single_estimator,A,1,200,223
imbens/ensemble/_over_sampling/tests/test_smote_bagging.py,function,,test_gridsearch,A,1,226,240
imbens/ensemble/_over_sampling/tests/test_smote_bagging.py,function,,test_bagging_with_pipeline,A,1,272,283
imbens/ensemble/_over_sampling/tests/test_smote_bagging.py,function,,test_warm_start_smaller_n_estimators,A,1,315,322
imbens/ensemble/_over_sampling/tests/test_smote_bagging.py,function,,test_warm_start_equal_n_estimators,A,1,325,342
imbens/ensemble/_over_sampling/tests/test_smote_bagging.py,function,,test_warm_start_equivalence,A,1,345,365
imbens/ensemble/_over_sampling/tests/test_smote_bagging.py,function,,test_warm_start_with_oob_score_fails,A,1,368,373
imbens/ensemble/_over_sampling/tests/test_smote_bagging.py,function,,test_oob_score_removed_on_warm_start,A,1,376,386
imbens/ensemble/_over_sampling/tests/test_smote_boost.py,function,,imbalanced_dataset,A,1,20,31
imbens/ensemble/_over_sampling/tests/test_smote_boost.py,function,,test_smoteboost_sample_weight,A,1,80,96
imbens/ensemble/_reweighting/adacost.py,method,AdaCostClassifier,__init__,A,1,148,169
imbens/ensemble/_reweighting/adacost.py,method,AdaCostClassifier,_compute_mult_in_exp_weights_array,A,1,171,185
imbens/ensemble/_reweighting/adacost.py,method,AdaCostClassifier,_validate_cost_matrix,A,1,206,212
imbens/ensemble/_reweighting/adacost.py,method,AdaCostClassifier,fit,A,1,220,276
